,casting_time,components,description,duration,evocation_level,range,spell_name
0, 1 action," v, s, m (powdered rhubarb leaf and an adder's stomach)","a shimmering green arrow streaks toward a target within range and burstsin a spray of acid. make a ranged spell attack against the target. on ahit, the target takes 4d4 acid damage immediately and 2d4 acid damage atthe end of its next turn. on a miss, the arrow splashes the target withacid for half as much of the initial damage and no damage at the end ofits next turn.", instantaneous,2ndlevel evocation, 90 feet,acid arrow
1, 1 action," v, s","you hurl a bubble of acid. choose one creature within range, or choosetwo creatures within range that are within 5 feet of each other. atarget must succeed on a dexterity saving throw or take 1d6 acid damage.this spell's damage increases by 1d6 when you reach 5th level (2d6),11th level (3d6), and 17th level (4d6).", instantaneous,conjuration cantrip, 60 feet,acid splash
2, 1 action," v, s, m (a tiny strip of white cloth)",your spell bolsters your allies with toughness and resolve. choose up tothree creatures within range. each target's hit point maximum andcurrent hit points increase by 5 for the duration., 8 hours,2ndlevel abjuration, 30 feet,aid
3, 1 minute," v, s, m (a tiny bell and a piece of fine silver wire)","you set an alarm against unwanted intrusion. choose a door, a window, oran area within range that is no larger than a 20 foot ref`srdcube`. until thespell ends, an alarm alerts you whenever a tiny or larger creaturetouches or enters the warded area. when you cast the spell, you candesignate creatures that won't set off the alarm. you also choosewhether the alarm is mental or audible.a mental alarm alerts you with a ping in your mind if you are within 1mile of the warded area. this ping awakens you if you are sleeping.an audible alarm produces the sound of a hand bell for 10 seconds within60 feet.", 8 hours,1stlevel abjuration (ritual), 30 feet,alarm
4, 1 action," v, s","you assume a different form. when you cast the spell, choose one of thefollowing options, the effects of which last for the duration of thespell. while the spell lasts, you can end one option as an action togain the benefits of a different one."," concentration, up to 1 hour",2ndlevel transmutation, self,alter self
5, 1 action," v, s, m (a morsel of food)","this spell lets you convince a beast that you mean it no harm.choose a beast that you can see within range. it must see and hear you.if the beast's intelligence is 4 or higher, the spell fails. otherwise,the beast must succeed on a wisdom saving throw or be charmed by you for the spell's duration.if you or one of your companions harms the target, the spells ends.", 24 hours,1stlevel enchantment, 30 feet,animal friendship
6, 1 action," v, s, m (a morsel of food)","by means of this spell, you use an animal to deliver a message. choose atiny beast you can see within range, such as a squirrel, a blue jay, ora bat. you specify a location, which you must have visited, and arecipient who matches a general description, such as ""a man or womandressed in the uniform of the town guard"" or ""a red haired dwarf wearinga pointed hat."" you also speak a message of up to twenty five words. thetarget beast travels for the duration of the spell toward the specifiedlocation, covering about 50 miles per 24 hours for a flying messenger,or 25 miles for other animals.when the messenger arrives, it delivers your message to the creaturethat you described, replicating the sound of your voice. the messengerspeaks only to a creature matching the description you gave. if themessenger doesn't reach its destination before the spell ends, themessage is lost, and the beast makes its way back to where you cast thisspell.", 24 hours,2ndlevel enchantment (ritual), 30 feet,animal messenger
7, 1 action," v, s","your magic turns others into beasts. choose any number of willingcreatures that you can see within range. you transform each target intothe form of a large or smaller beast with a challenge rating of 4 orlower. on subsequent turns, you can use your action to transformaffected creatures into new forms.the transformation lasts for the duration for each target, or until thetarget drops to 0 hit points or dies. you can choose a different formfor each target. a target's game statistics are replaced by thestatistics of the chosen beast, though the target retains its alignmentand intelligence, wisdom, and charisma scores. the target assumes thehit points of its new form, and when it reverts to its normal form, itreturns to the number of hit points it had before it transformed. if itreverts as a result of dropping to 0 hit points, any excess damagecarries over to its normal form. as long as the excess damage doesn'treduce the creature's normal form to 0 hit points, it isn't knockedref`srdunconscious`. the creature is limited in the actions it can perform bythe nature of its new form, and it can't speak or cast spells.the target's gear melds into the new form. the target can't activate,wield, or otherwise benefit from any of its equipment."," concentration, up to 24 hours",8thlevel transmutation, 30 feet,animal shapes
8, 1 minute," v, s, m (a drop of blood, a piece of flesh, and a pinchof bone dust)","this spell creates an undead servant. choose a pile of bones or a corpseof a medium or small humanoid within range. your spell imbues the targetwith a foul mimicry of life, raising it as an undead creature. thetarget becomes a skeleton if you chose bones or a zombie if you chose acorpse (the gm has the creature's game statistics).on each of your turns, you can use a bonus action to mentally commandany creature you made with this spell if the creature is within 60 feetof you (if you control multiple creatures, you can command any or all ofthem at the same time, issuing the same command to each one). you decidewhat action the creature will take and where it will move during itsnext turn, or you can issue a general command, such as to guard aparticular chamber or corridor. if you issue no commands, the creatureonly defends itself against hostile creatures. once given an order, thecreature continues to follow it until its task is complete.the creature is under your control for 24 hours, after which it stopsobeying any command you've given it. to maintain control of the creaturefor another 24 hours, you must cast this spell on the creature againbefore the current 24 hour period ends. this use of the spell reassertsyour control over up to four creatures you have animated with thisspell, rather than animating a new one.", instantaneous,3rdlevel necromancy, 10 feet,animate dead
9, 1 action," v, s","objects come to life at your command. choose up to ten nonmagicalobjects within range that are not being worn or carried. medium targetscount as two objects, large targets count as four objects, huge targetscount as eight objects. you can't animate any object larger than huge.each target animates and becomes a creature under your control until thespell ends or until reduced to 0 hit points.as a bonus action, you can mentally command any creature you made withthis spell if the creature is within 500 feet of you (if you controlmultiple creatures, you can command any or all of them at the same time,issuing the same command to each one). you decide what action thecreature will take and where it will move during its next turn, or youcan issue a general command, such as to guard a particular chamber orcorridor. if you issue no commands, the creature only defends itselfagainst hostile creatures. once given an order, the creature continuesto follow it until its task is complete.animated object statistics+++++++| size           | hp             | ac             | attack         | str            | dex            |+================+================+================+================+================+================+| tiny           | 20             | 18             | +8 to hit, 1d4 | 4              | 18             ||                |                |                | + 4 damage     |                |                |+++++++| small          | 25             | 16             | +6 to hit, 1d8 | 6              | 14             ||                |                |                | + 2 damage     |                |                |+++++++| medium         | 40             | 13             | +5 to hit, 2d6 | 10             | 12             ||                |                |                | + 1 damage     |                |                |+++++++| large          | 50             | 10             | +6 to hit,     | 14             | 10             ||                |                |                | 2d10 + 2       |                |                ||                |                |                | damage         |                |                |+++++++| huge           | 80             | 10             | +8 to hit,     | 18             | 6              ||                |                |                | 2d12 + 4       |                |                ||                |                |                | damage         |                |                |+++++++an animated object is a construct with ac, hit points, attacks,strength, and dexterity determined by its size. its constitution is 10and its intelligence and wisdom are 3, and its charisma is 1. its speedis 30 feet; if the object lacks legs or other appendages it can use forlocomotion, it instead has a flying speed of 30 feet and can hover. ifthe object is securely attached to a surface or a larger object, such asa chain bolted to a wall, its speed is 0. it has blindsight with aradius of 30 feet and is blind beyond that distance. when the animatedobject drops to 0 hit points, it reverts to its original object form,and any remaining damage carries over to its original object form.if you command an object to attack, it can make a single melee attackagainst a creature within 5 feet of it. it makes a slam attack with anattack bonus and bludgeoning damage determined by its size. the gm mightrule that a specific object inflicts slashing or piercing damage basedon its form."," concentration, up to 1 minute",5thlevel transmutation, 120 feet,animate objects
